Trail;Date;Suivi;Heure_depart;Lien_URL;Fichier_parcours_gpx;Vit_plat_km/h;Vit_den+_m/h;Csv_file;Date_dt;Modele_prediction;Fit_intercept;Ralent_sec/km
2023LAVAREDO;2023-06-23;livetrail;23:00:00;https://livetrail.net/histo/lavaredo_2023;lavaredo-ultra-trail-2021-120k.gpx;15.94;1507.0;2023-06-23_LAVAREDO 120K_122.2km.csv;2023-06-23;points_passages;0.0;2.07
ALL;NA;All;NA;;;15.94;1507.0;;;points_passages;0.0;2.07
PROFIL;NA;PROFIL;NA;;;15.94;1507.0;;;points_passages;0.0;2.07
